,Country,Days,CumConfirmed,CumConfirmed_per_million,CumDeaths,CumRecovered,smoothed_cumulative_testing_count,SmoothedCumTesting_per_thousand,Population,Pop_Density,Land_Area_Kmsq,HealthCapacityScore,RecoveryRate,FatalityRate,Active,Population Interval,Health Capacity Score Interval
53,El Salvador,200,0.039121888900262115,1.0332808918532006,0.0415170033120306,0.04036543108163582,0.0350822185751024,0.4571597118804033,0.04482956662561598,0.11809379153218151,0.01265138043175408,2.885117493472585,8.4,1.0344827586206897,0.008708325808036703,1-10m,20 to 35
54,Equatorial Guinea,204,0.006563936184961511,0.8016129728874358,0.003871810421234314,0.007861087568929314,0.0,0.0,0.009512010417887719,0.018226694513005504,0.017127205450565675,0.5221932114882507,9.8,0.6896551724137931,6.755877275435765e-05,1-10m, less than 10
55,Eritrea,196,0.0005338218926577462,0.025279689060882748,0.0,0.0005902956349700656,0.0,0.0,0.024404326982519636,0.012530852477691286,0.06167173957366332,0.14360313315926898,9.0,0.0,9.23303227642888e-05,1-10m, less than 10
56,Estonia,221,0.00502855040146775,0.6494531500121093,0.0031720856463124504,0.004708083733753184,0.01940185805136896,1.2362211795952716,0.008980845689215573,0.01101196126827416,0.025883457943029282,6.031331592689296,7.6,0.6896551724137931,0.001907409350764698,1-10m,35 to 50
57,Eswatini,192,0.007402243865907049,1.0933807729733254,0.005317908289406166,0.008484706344583173,0.0,0.0,0.0078249214632651,0.02468198215302829,0.010502007434998718,0.587467362924282,9.399999999999999,0.6896551724137931,0.0005697456502284162,1-10m, less than 10
58,Ethiopia,205,0.11030677914933149,0.16382242934036348,0.06068946214488967,0.06173349834106298,0.11190724129261141,0.08227529574314839,0.7985164169625611,0.04290867666603379,0.6106167180063541,5.443864229765014,4.6000000000000005,0.6896551724137931,0.10118052199510964,100-500m,35 to 50
59,Fiji,190,3.8870526164399e-05,0.007281228451346655,9.329663665624854e-05,4.4430854245058696e-05,0.0009445006470448101,0.08905333153404711,0.005992635903020632,0.017846971710651225,0.011155367976626057,1.0052219321148825,8.8,2.0689655172413794,2.251959091811922e-06,< 1m, less than 10
60,Finland,221,0.01554302772893768,0.4802746427620066,0.016140318141530996,0.01348793789582139,0.10203172400321774,1.5564694141618631,0.03826045892792358,0.006075564837668502,0.1855598893781223,8.91644908616188,7.1,1.0344827586206897,0.007095923098299366,1-10m,>=65
61,France,250,1.062945634386422,2.790658614747422,1.542100107291132,0.16879598890942407,0.0,0.0,0.45327617801680525,0.044427567875450914,0.33434718199186914,6.775456919060053,1.3,1.3793103448275863,1.5334557798556854,50-100m,50 to 65
62,Gabon,199,0.011488831849990866,0.8843319157310392,0.0025190091897187104,0.01332132219240242,0.0,0.0,0.01522836423541917,0.0026580596164799694,0.15733715644913568,1.8276762402088775,9.5,0.3448275862068966,0.0009435708594691953,1-10m,10 to 20
63,Gambia,179,0.004716290507947078,0.3340522590632694,0.0055045015627186635,0.004117788098783119,0.0,0.0,0.016554949013761713,0.08999430415796468,0.006178836748343045,2.545691906005222,7.1,1.0344827586206897,0.0020898180372014635,1-10m,20 to 35
64,Georgia,221,0.017516354773883667,0.7521158072587008,0.005084666697765545,0.011360017340727686,0.0,0.0,0.027480469022554663,0.020884754129485476,0.042431187548731084,2.3237597911227157,5.300000000000001,0.3448275862068966,0.014079248242008137,1-10m,10 to 20
65,Germany,245,0.388737653749127,0.7946532103531709,0.4446051219853524,0.4140257416501334,1.4826060925818507,1.4956726805984457,0.5818842625128089,0.09037402696031897,0.2128361654477422,10.0,8.7,1.0344827586206897,0.06661069797670484,50-100m,>=65
