,Country,Days,Cumulative Confirmed Count,Cumulative Confirmed per million,Cumulative Death Count,Cumulative Recovered Count,Cumulative Testing Count,Cumulative Testing per thousand,Population,Population_Density,Land_Area_Kmsq,Health Capacity Score,Recovery Rate,Fatality Rate,Active,Risk.of.Transmission.from.P2P,Risk.due2.lack.of.sanitation.and.water.services,Risk.based.on.Pop.Dist.,Vul.Index,Hazard.Ind.Vul.Risk.Index,INFORM.Socio.Eco.Vul.Risk.Index,Vul.related2.Dev.and.Deprivation,Vul.due2.Eco.and.Gender.Inequality,Vul.based.on.Eco.Dependency.Index,INFORM.Vulnerable.Groups.Risk.Index,Vul.associated.with.Uprooted.people,Vul.due2.other.Health.Condns,Vul.due2.lack.of.Food.Security,Vul.due2.Gender.Based.Violence,Covid19.Overall.Vul.Index,Vul.related2.Intl.and.Int.Movements,Vul.due2.lackof.authntic.info.nd.trust.on.politicians,Vul.due2.1plus.underlying.condns.plus.0.condns.65plus.yrs.pop,Lack.of.Coping.Capacity.Index,Hazard.Independent.Lack.of.Coping.Capacity.Index,INFORM.Risk.Index.related2.Institutional.Strength,Risk.based.on.Corruption.Perception.Index,Risk.based.on.Govt.Effectiveness,INFORM.Risk.Index.based.on.ltd.opl.Infra,Risk.associated2.Immunization.coverage,Risk.based.on.pc.public.and.pvt.exp.on.healthcare,Risk.based.on.Maternal.Mortality.ratio,Covid19.Overall.Lack.of.coping.capacity.Index,Lack.based.on.IHR.core.capacity.scores,Lack.based.on.Opl.readiness.index,INFORM COVID-19 RISK,COVID-19 RISK CLASS
80,Ireland,174,0.04938741382335349,1.4049453968460885,0.10025670681824593,0.08181938521297763,0.10292507473189404,2.3670877298991027,0.03407135134758072,0.026580596164799696,0.042064817151556876,8.18537859007833,8.282828282828282,2.0689655172413794,0.009094975146236809,3.1,0.7,4.3,3.8,0.9,0.4,0.0,1.5,0.1,1.3,3.9,0.2,0.2,0.35,5.9,7.1,3.7,6.4,2.4,1.9,2.4,2.6,2.2,1.4,1.0499999999999998,0,0.1,2.9,3.3,2.5,3.0,Low
81,Israel,173,0.1735023440117543,2.815176810038842,0.04485316934187142,0.2611713717599152,0.28703223085448115,3.7658427069779283,0.05990179135877944,0.15112967533700397,0.013213148374087868,5.483028720626632,7.575757575757575,0.3448275862068966,0.06840008629072974,4.1,0.0,6.2,3.2,1.4,0.6,0.0,2.4,0.1,2.2,5.4,0.1,0.0,2.2,4.6,6.4,4.9,3.6,1.5,2.4,3.3,4,2.6,1.3,0.5,0.5,0,0.45,0.9,0,2.7,Low
82,Italy,188,0.4573954716414389,1.0619058740796965,2.0005077717283983,0.7225522997606773,1.0704626870849974,2.0105538150763045,0.4198452119281089,0.0774634516802734,0.1796063704240414,5.7441253263707575,7.979797979797979,4.8275862068965525,0.05859637511167535,2.8,0.1,4.1,5.8,1.5,0.6,0.3,1.8,0.1,2.4,6.5,0.2,0.4,0.5,8.2,8.6,5.8,9.2,1.9,3.0,4.5,4.7,4.2,1.1,1.4666666666666668,0,0,0.75,1.5,0,3.1,Low
83,Jamaica,168,0.0036518739636544452,0.17393797664447977,0.001128381618663432,0.0031167288494928134,0.0,0.0,0.020338057759311155,0.10290487943801026,0.006612375051665859,0.6135770234986946,4.242424242424242,0.3448275862068966,0.0033940267388316192,4.0,2.1,5.0,4.1,2.8,3.9,4.1,5.4,2.1,1.5,0.0,1.7,2.9,1.1,5.2,6.2,5.0,4.8,4.2,4.7,4.9,5.7,4.0,4.4,0.85,8.4,0.9,3.7,2.4,5,4.1,Medium
84,Japan,210,0.11283523932928874,0.12465665047713752,0.06939546954780107,0.18002435951222143,0.17930640488094524,0.16099468443546713,0.8785063720087597,0.13100436681222707,0.222602989619078,8.237597911227153,7.979797979797979,0.6896551724137931,0.03428192898182587,3.2,0.1,4.7,5.7,1.1,0.3,0.0,1.3,0.0,1.9,3.7,0.2,2.4,1,8.2,8.9,3.8,10,0.7,1.4,2.2,2.7,1.6,0.6,0.2333333333333333,0,0.1,0,0,0,2.3,Low
85,Jordan,167,0.003268566581973158,0.0447223179233288,0.000846286213997574,0.005067310837321462,0.0,0.0,0.07065430938269422,0.04290867666603379,0.05420999581788192,4.8172323759791125,7.6767676767676765,0.3448275862068966,0.001214169299249248,4.1,0.3,6.0,4.0,4.8,3.6,2.2,4.2,5.8,5.8,10.0,0.1,3.6,2.6,3.0,4.6,4.2,1.6,4.8,4.4,5.0,5.2,4.8,3.8,0,8.5,0.5,5.1,5.2,5,4.3,Medium
86,Kazakhstan,162,0.18274179421655368,1.3664633173091305,0.0798329995204378,0.327098941783007,0.31610658683595516,1.9117871753812403,0.13022238755530163,0.0018986140117714066,1.6484829914680272,5.522193211488251,8.98989898989899,0.3448275862068966,0.028465210943562025,2.6,0.3,3.8,2.7,0.9,1.1,1.3,1.7,0.0,0.7,0.0,0.5,0.8,1.6,4.2,4.9,4.6,3.6,4.1,4.3,5.8,6.6,5.0,2.3,0.06666666666666667,7.3,0.1,3.95,2.9,5,3.1,Low
87,Kenya,156,0.05669464636322312,0.14748539150391357,0.031256170836977064,0.06616920405749069,0.055397611392484065,0.11699464467517001,0.3733602733784313,0.034934497816593885,0.3475261357955541,2.637075718015666,5.858585858585858,0.6896551724137931,0.03700957443083697,6.0,7.4,5.3,4.7,6.1,5.7,7.5,5.7,1.9,6.5,7.7,4.6,7.5,5.4,2.9,3.4,6.5,0.8,6.3,6.8,6.5,7.2,5.8,7.1,5.866666666666667,9.7,3.8,5.75,6.5,5,5.6,High
88,"Korea, South",210,0.03320835770384243,0.090376050550981,0.017828429574882225,0.05095676571794374,0.23670847512970705,0.5243035710871171,0.35597592922640264,0.19935447123599773,0.059369712244752036,9.490861618798956,7.6767676767676765,0.6896551724137931,0.011884740884976942,3.9,0.0,5.9,4.8,1.2,0.4,0.0,1.3,0.1,1.9,3.6,0.4,1.0,2.2,7.1,8.3,4.7,7.6,1.3,2.2,3.4,4.1,2.6,0.8,0.2333333333333333,1,0.1,0.3,0.6,0,2.9,Low
89,Kuwait,184,0.1433116607855118,4.71354448451351,0.029394341166182402,0.2588145644388942,0.07806501828458227,2.075849883486756,0.029435627679287906,0.09037402696031897,0.010880590178745401,5.143603133159269,9.09090909090909,0.3448275862068966,0.02214588328839966,4.9,0.0,7.3,3.2,1.9,1.7,1.8,3.3,0.0,2.0,1.6,0.3,1.0,4.6,4.3,5.8,4.9,3.2,3.6,3.8,5.6,6,5.2,1.5,0,0.3,0.1,3.45,4.4,2.5,3.8,Medium
