,Country,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_22,LOCC_23,LOCC_24,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
89,Korea DPR,3.9,1.4,5.1,5.4,6.0,5.9,8.4,5.9,0.8,6.0,0.0,3.9,9.4,6.0,4.8,4.5,3.3,5.6,5.0,5.6,8.2,8.3,8.1,0.6,0.25,0.6,1,4.35,3.7,5,4.7,Medium
90,"Korea, South",3.9,0.0,5.9,4.8,1.2,0.4,0.0,1.3,0.1,1.9,3.6,0.4,1.0,2.2,7.1,8.3,4.7,7.6,1.3,2.2,3.4,4.1,2.6,0.8,0.2333333333333333,1,0.1,0.3,0.6,0,2.9,Low
91,Kuwait,4.9,0.0,7.3,3.2,1.9,1.7,1.8,3.3,0.0,2.0,1.6,0.3,1.0,4.6,4.3,5.8,4.9,3.2,3.6,3.8,5.6,6,5.2,1.5,0,0.3,0.1,3.45,4.4,2.5,3.8,Medium
92,Kyrgyzstan,3.1,1.2,4.1,3.1,3.1,3.9,4.0,2.9,4.8,2.1,0.8,0.8,2.4,3.9,3.1,3.9,5.3,1.6,5.7,5.4,6.6,7,6.2,4,1.2,9.4,0.7,5.9,4.3,7.5,3.8,Medium
93,Laos,4.1,3.6,4.4,3.6,4.0,5.0,6.8,4.6,1.6,2.9,0.0,1.7,4.9,4.2,3.2,4.2,4.7,2,6.6,6.2,6.7,7.1,6.3,5.7,2.55,9.6,2.1,7,6.5,7.5,4.6,Medium
94,Latvia,2.4,0.6,3.3,5.6,1.1,1.2,0.9,2.3,0.6,1.0,1.3,0.7,1.4,0.75,8.1,7.2,5.1,10,2.8,3.0,3.7,4.4,2.9,2.2,1.3,4.8,0.2,2.5,2.5,2.5,3.4,Low
95,Lebanon,4.5,0.7,6.4,5.4,5.2,3.9,3.4,3.3,5.3,6.3,10.0,0.1,3.4,5.4,5.5,6.2,7.0,4.4,5.2,5.7,6.8,7.2,6.3,4.2,4.666666666666667,6.3,0.3,4.6,4.2,5,5.0,High
96,Lesotho,5.5,7.1,4.7,5.7,5.8,6.9,7.8,7.3,4.6,4.4,0.0,7.3,3.8,4.6,5.6,3.3,6.2,6.4,6.8,6.4,6.4,6,6.7,6.4,1.6333333333333335,9.3,6,7.1,6.7,7.5,6.0,High
97,Liberia,7.0,7.9,6.5,5.3,6.8,7.4,9.0,5.7,6.0,6.1,3.4,4.8,8.3,6.5,3.2,4.4,7.4,0.4,6.4,7.4,7.5,7.2,7.7,7.2,2.2,9.7,7.3,5.2,5.4,5,6.2,High
98,Libya,3.0,0.1,4.5,3.9,4.1,3.6,3.5,2.3,5.2,4.5,8.8,0.4,1.7,3,3.7,3.1,5.4,3.2,6.7,6.7,8.5,8.2,8.7,3.6,0.7000000000000001,8,0.8,6.7,5.9,7.5,4.3,Medium
